City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Vila Velha,BR,78.75,scattered clouds,-20.3297,-40.2925,Quality Suites Vila Velha
10,Road Town,VG,86.04,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
18,Havelock,US,82.38,mist,34.8791,-76.9013,Sherwood Motel
27,Kapaa,US,75.18,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
29,Batemans Bay,AU,63.99,moderate rain,-35.7167,150.1833,Batemans Bay Marina Resort
56,Illapel,CL,67.6,scattered clouds,-31.6308,-71.1653,Hotel Londres
61,Hasaki,JP,73.8,overcast clouds,35.7333,140.8333,Hotel Sunrise Choshi
65,Hiriyur,IN,77.77,few clouds,13.9456,76.6192,Royal Inn
87,Vaini,TO,71.76,few clouds,-21.2,-175.2,Keleti Beach Resort
94,Atuona,PF,77.58,few clouds,-9.8,-139.0333,Villa Enata
129,Pisco,PE,64.02,mist,-13.7,-76.2167,Hotel San Isidro Oficial
164,Nantucket,US,75.31,broken clouds,41.2835,-70.0995,Jared Coffin House
172,Guerrero Negro,MX,70.88,broken clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
179,Zhangjiakou,CN,61.68,broken clouds,40.81,114.8794,Shell Zhangjiakou City Qiaodong District Ginza Hotel
182,Suzaka,JP,68.11,moderate rain,36.65,138.3167,Kura
210,Hithadhoo,MV,83.05,overcast clouds,-0.6,73.0833,Scoop Guest House
215,Vredendal,ZA,78.19,clear sky,-31.6683,18.5012,Tharrakamma Guest House
250,Puerto Escondido,MX,82.76,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
257,Namibe,AO,70.43,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
268,Lanzhou,CN,67.28,light rain,36.0564,103.7922,Lanzhou Amdo Xiangbala Hotel
281,Kropotkin,RU,65.53,clear sky,45.4375,40.5756,Hotel Europe Kropotkin
283,Lima,PE,60.13,overcast clouds,-12.0432,-77.0282,Gran Hotel Bolivar Lima
301,Helmbrechts,DE,61.02,few clouds,50.2356,11.7159,Ferienwohnung am Goldberg
333,Fengxian,CN,71.65,light rain,34.7039,116.5872,Tongrenju Hotel
351,Padang,ID,77.05,overcast clouds,-0.9492,100.3543,Mercure Padang
381,Kant,IN,75.85,scattered clouds,27.8,79.8,Haseeb Khan shatreng
389,San Juan,AR,73.72,clear sky,-31.5375,-68.5364,Hotel Provincial
407,The Valley,AI,89.46,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
422,Saverne,FR,70.2,few clouds,48.8333,7.25,Au Vieux Moulin
424,Buenos Aires,AR,72.01,clear sky,-34.6132,-58.3772,Hotel NH Buenos Aires City
428,Carbonia,IT,82.85,overcast clouds,39.1672,8.5222,Lu 'Hotel
437,Bandarbeyla,SO,77.97,clear sky,9.4942,50.8122,JABIR HOTEL
451,Puri,IN,81.12,overcast clouds,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
465,Hawick,GB,66.11,overcast clouds,55.4227,-2.7867,Wiltonburn Farm B&B
474,Gangapur,IN,75.49,overcast clouds,26.4833,76.7167,OYO 45271 Hotel Haveli
511,Bardiyah,LY,80.29,clear sky,31.7561,25.0865,بورتو بردية
515,Singaraja,ID,78.98,broken clouds,-8.112,115.0882,Puri Bagus Lovina Resort
527,Almansa,ES,83.07,broken clouds,38.8692,-1.0971,Hotel Blu
544,Xinyu,CN,72.81,clear sky,27.8043,114.9334,Xinyu Beihu Hotel
554,Salinopolis,BR,84.24,few clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
573,Lata,PT,80.35,scattered clouds,40.1629,-8.3327,Casa Maquia
576,Jesus Maria,AR,77.13,clear sky,-30.9815,-64.0942,Posada Los Platanos
591,Santa Vitoria Do Palmar,BR,64.22,clear sky,-33.5189,-53.3681,Hostel Comodoro
595,Lae,PG,76.6,overcast clouds,-6.7221,146.9847,Phils Hotel
645,Conde,BR,83.66,scattered clouds,-7.2597,-34.9075,Pousada Beija Flor
661,Ardesen,TR,67.71,overcast clouds,41.1911,40.9875,Green Suada Hotel
664,Kikwit,CD,86.49,light rain,-5.041,18.8162,HOTEL PLACE YALABA
678,Sompeta,IN,82.13,overcast clouds,18.9333,84.6,Netaji's Home
687,Porto Santo,PT,76.91,scattered clouds,33.072,-16.3415,Hotel Porto Santo & Spa
690,Tezu,IN,73.49,overcast clouds,27.9167,96.1667,Circuit House
692,Manavalakurichi,IN,82.49,scattered clouds,8.1333,77.3,Udaya Boys Hostel
